1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;       27605;   ;resultado ;Desencriptando                          ;13052015      ;170514;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       27605;   ;resultado ;Validacion                              ;13052015      ;170514;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       27605;   ;resultado ;351                                     ;13052015      ;170514;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       27605;   ;resultado ;351                                     ;13052015      ;170515;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpayment/cierre_compra.php                 
1554690965;       27605;   ;transacc  ;1554690965                              ;13052015      ;170515;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1554690965;       27605;   ;resultado ;logro abrir_conexion                    ;13052015      ;170515;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
1554690965;       27605;   ;transacc  ;1554690965                              ;13052015      ;170515;200.10.12.55   ;OK ;597026007976        ;POST a url http://cccchile.cl/modules/webpayment/cierre_compra.php      
1554690965;       27605;   ;transacc  ;1554690965                              ;13052015      ;170515;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       27605;   ;resultado ;351                                     ;13052015      ;170515;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       27605;   ;resultado ;351                                     ;13052015      ;170515;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
1554690965;       27605;   ;resultado ;datoscom                                ;13052015      ;170515;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       27605;   ;resultado ;351                                     ;13052015      ;170515;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       31483;   ;Filtro    ;Inicio                                  ;13052015      ;170628;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;       31483;   ;Filtro    ;tbk_param.txt                           ;13052015      ;170628;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;       31483;   ;Filtro    ;Terminado                               ;13052015      ;170628;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       31483;   ;sanitiza  ;inicio                                  ;13052015      ;170628;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
